county,year,race,sex,total
Alleghany,2021,white,female,5632
Anson,2021,white,female,5468
Ashe,2021,white,female,13927
Avery,2021,white,female,7952
Beaufort,2021,white,female,17721
Bertie,2021,white,female,3428
Bladen,2021,white,female,10962
Brunswick,2021,white,female,63277
Buncombe,2021,white,female,125104
Burke,2021,white,female,40411
Cabarrus,2021,white,female,84590
Caldwell,2021,white,female,39424
Camden,2021,white,female,4420
Carteret,2021,white,female,32782
Caswell,2021,white,female,7366
Catawba,2021,white,female,70042
Chatham,2021,white,female,34597
Cherokee,2021,white,female,14373
Chowan,2021,white,female,4786
Clay,2021,white,female,5986
Cleveland,2021,white,female,39106
Columbus,2021,white,female,17598
Craven,2021,white,female,37601
Cumberland,2021,white,female,82728
Currituck,2021,white,female,12642
Dare,2021,white,female,17661
Davidson,2021,white,female,75579
Davie,2021,white,female,20550
Duplin,2021,white,female,21791
Durham,2021,white,female,85152
Edgecombe,2021,white,female,10681
Forsyth,2021,white,female,130843
Franklin,2021,white,female,25375
Gaston,2021,white,female,89541
Gates,2021,white,female,3868
Graham,2021,white,female,3966
Granville,2021,white,female,18876
Greene,2021,white,female,5821
Guilford,2021,white,female,158219
Halifax,2021,white,female,9873
Harnett,2021,white,female,50198
Haywood,2021,white,female,31827
Henderson,2021,white,female,57983
Hertford,2021,white,female,3896
Hoke,2021,white,female,14868
Hyde,2021,white,female,1675
Iredell,2021,white,female,78901
Jackson,2021,white,female,19140
Johnston,2021,white,female,89218
Jones,2021,white,female,3482
Lee,2021,white,female,23702
Lenoir,2021,white,female,15613
Lincoln,2021,white,female,41646
Macon,2021,white,female,18083
Madison,2021,white,female,11169
Martin,2021,white,female,6539
McDowell,2021,white,female,21914
Mecklenburg,2021,white,female,325095
Mitchell,2021,white,female,7503
Montgomery,2021,white,female,11578
Moore,2021,white,female,44932
Nash,2021,white,female,26325
New Hanover,2021,white,female,102806
Northampton,2021,white,female,3873
Onslow,2021,white,female,77740
Orange,2021,white,female,59142
Pamlico,2021,white,female,5050
Pasquotank,2021,white,female,10904
Pender,2021,white,female,26814
Perquimans,2021,white,female,5009
Person,2021,white,female,14733
Pitt,2021,white,female,57757
Polk,2021,white,female,10606
Randolph,2021,white,female,67899
Richmond,2021,white,female,13774
Robeson,2021,white,female,20536
Rockingham,2021,white,female,36394
Rowan,2021,white,female,58015
Rutherford,2021,white,female,31277
Sampson,2021,white,female,22254
Scotland,2021,white,female,7786
Stanly,2021,white,female,27483
Stokes,2021,white,female,22518
Surry,2021,white,female,34891
Swain,2021,white,female,4597
Transylvania,2021,white,female,17583
Tyrrell,2021,white,female,1199
Union,2021,white,female,103608
Vance,2021,white,female,10727
Wake,2021,white,female,385500
Warren,2021,white,female,3687
Washington,2021,white,female,2746
Watauga,2021,white,female,27662
Wayne,2021,white,female,40016
Wilkes,2021,white,female,33424
Wilson,2021,white,female,23521
Yadkin,2021,white,female,18331
Yancey,2021,white,female,9271
Alamance,2021,aian,male,1942
Alexander,2021,aian,male,150
Alleghany,2021,aian,male,68
Anson,2021,aian,male,167
Ashe,2021,aian,male,34
Avery,2021,aian,male,77
Beaufort,2021,aian,male,394
Bertie,2021,aian,male,71
Bladen,2021,aian,male,556
Brunswick,2021,aian,male,869
Buncombe,2021,aian,male,820
Burke,2021,aian,male,631
Cabarrus,2021,aian,male,1037
Caldwell,2021,aian,male,360
Camden,2021,aian,male,17
Carteret,2021,aian,male,218
Caswell,2021,aian,male,95
Catawba,2021,aian,male,609
Chatham,2021,aian,male,772
Cherokee,2021,aian,male,205
Chowan,2021,aian,male,52
Clay,2021,aian,male,29
Cleveland,2021,aian,male,253
Columbus,2021,aian,male,962
Craven,2021,aian,male,341
Cumberland,2021,aian,male,2708
Currituck,2021,aian,male,115
Dare,2021,aian,male,143
Davidson,2021,aian,male,1112
Davie,2021,aian,male,193
Duplin,2021,aian,male,646
Durham,2021,aian,male,2532
Edgecombe,2021,aian,male,258
Forsyth,2021,aian,male,2411
Franklin,2021,aian,male,463
Gaston,2021,aian,male,1027
Gates,2021,aian,male,36
Graham,2021,aian,male,274
Granville,2021,aian,male,432
Greene,2021,aian,male,435
Guilford,2021,aian,male,2424
Halifax,2021,aian,male,1200
Harnett,2021,aian,male,1911
Haywood,2021,aian,male,202
Henderson,2021,aian,male,541
Hertford,2021,aian,male,111
Hoke,2021,aian,male,2527
Hyde,2021,aian,male,37
Iredell,2021,aian,male,892
Jackson,2021,aian,male,2141
Johnston,2021,aian,male,1314
Jones,2021,aian,male,68
Lee,2021,aian,male,588
Lenoir,2021,aian,male,292
Lincoln,2021,aian,male,193
Macon,2021,aian,male,222
Madison,2021,aian,male,28
Martin,2021,aian,male,70
McDowell,2021,aian,male,294
Mecklenburg,2021,aian,male,6439
Mitchell,2021,aian,male,122
Montgomery,2021,aian,male,143
Moore,2021,aian,male,510
Nash,2021,aian,male,604
New Hanover,2021,aian,male,1044
Northampton,2021,aian,male,62
Onslow,2021,aian,male,983
Orange,2021,aian,male,524
Pamlico,2021,aian,male,62
Pasquotank,2021,aian,male,137
Pender,2021,aian,male,386
Perquimans,2021,aian,male,30
Person,2021,aian,male,201
Pitt,2021,aian,male,626
Polk,2021,aian,male,83
Randolph,2021,aian,male,1224
Richmond,2021,aian,male,1107
Robeson,2021,aian,male,25239
Rockingham,2021,aian,male,373
Rowan,2021,aian,male,591
Rutherford,2021,aian,male,129
Sampson,2021,aian,male,1618
Scotland,2021,aian,male,2418
Stanly,2021,aian,male,170
Stokes,2021,aian,male,131
Surry,2021,aian,male,320
Swain,2021,aian,male,1696
Transylvania,2021,aian,male,84
Tyrrell,2021,aian,male,29
Union,2021,aian,male,1135
Vance,2021,aian,male,267
Wake,2021,aian,male,6800
Warren,2021,aian,male,567
Washington,2021,aian,male,50
Watauga,2021,aian,male,99
Wayne,2021,aian,male,686
Wilkes,2021,aian,male,191
Wilson,2021,aian,male,288
Yadkin,2021,aian,male,189
Yancey,2021,aian,male,103
Alamance,2021,asian,male,1360
Alexander,2021,asian,male,198
Alleghany,2021,asian,male,53
Anson,2021,asian,male,207
Ashe,2021,asian,male,80
Avery,2021,asian,male,52
Beaufort,2021,asian,male,116
Bertie,2021,asian,male,95
Bladen,2021,asian,male,52
Brunswick,2021,asian,male,553
Buncombe,2021,asian,male,1993
Burke,2021,asian,male,2154
Cabarrus,2021,asian,male,3169
Caldwell,2021,asian,male,282
Camden,2021,asian,male,133
Carteret,2021,asian,male,411
Caswell,2021,asian,male,31
Catawba,2021,asian,male,3241
Chatham,2021,asian,male,579
Cherokee,2021,asian,male,134
Chowan,2021,asian,male,68
Clay,2021,asian,male,7
Cleveland,2021,asian,male,452
Columbus,2021,asian,male,166
Craven,2021,asian,male,1534
Cumberland,2021,asian,male,4351
Currituck,2021,asian,male,94
Dare,2021,asian,male,131
Davidson,2021,asian,male,1297
Davie,2021,asian,male,144
Duplin,2021,asian,male,405
Durham,2021,asian,male,8101
Edgecombe,2021,asian,male,92
Forsyth,2021,asian,male,5138
Franklin,2021,asian,male,244
Gaston,2021,asian,male,1903
Gates,2021,asian,male,24
Graham,2021,asian,male,27
Granville,2021,asian,male,271
Greene,2021,asian,male,95
Guilford,2021,asian,male,14546
Halifax,2021,asian,male,233
Harnett,2021,asian,male,780
Haywood,2021,asian,male,130
Henderson,2021,asian,male,889
Hertford,2021,asian,male,130
Hoke,2021,asian,male,409
Hyde,2021,asian,male,7
Iredell,2021,asian,male,2398
Jackson,2021,asian,male,268
Johnston,2021,asian,male,1076
Jones,2021,asian,male,19
Lee,2021,asian,male,311
Lenoir,2021,asian,male,214
Lincoln,2021,asian,male,285
Macon,2021,asian,male,166
Madison,2021,asian,male,31
Martin,2021,asian,male,66
McDowell,2021,asian,male,208
Mecklenburg,2021,asian,male,33064
Mitchell,2021,asian,male,35
Montgomery,2021,asian,male,230
Moore,2021,asian,male,820
Nash,2021,asian,male,573
New Hanover,2021,asian,male,1843
Northampton,2021,asian,male,33
Onslow,2021,asian,male,2260
Orange,2021,asian,male,6301
Pamlico,2021,asian,male,27
Pasquotank,2021,asian,male,292
Pender,2021,asian,male,216
Perquimans,2021,asian,male,26
Person,2021,asian,male,97
Pitt,2021,asian,male,1982
Polk,2021,asian,male,80
Randolph,2021,asian,male,1039
Richmond,2021,asian,male,301
Robeson,2021,asian,male,979
Rockingham,2021,asian,male,328
Rowan,2021,asian,male,743
Rutherford,2021,asian,male,167
Sampson,2021,asian,male,213
Scotland,2021,asian,male,202
Stanly,2021,asian,male,811
Stokes,2021,asian,male,60
Surry,2021,asian,male,190
Swain,2021,asian,male,43
Transylvania,2021,asian,male,95
Tyrrell,2021,asian,male,64
Union,2021,asian,male,3391
Vance,2021,asian,male,104
Wake,2021,asian,male,38383
Warren,2021,asian,male,38
Washington,2021,asian,male,11
Watauga,2021,asian,male,335
Wayne,2021,asian,male,887
Wilkes,2021,asian,male,204
Wilson,2021,asian,male,589
Yadkin,2021,asian,male,81
Yancey,2021,asian,male,71
Alamance,2021,black,male,15728
Alexander,2021,black,male,1224
Alleghany,2021,black,male,81
Anson,2021,black,male,6653
Ashe,2021,black,male,124
Avery,2021,black,male,668
Beaufort,2021,black,male,4902
Bertie,2021,black,male,5801
Bladen,2021,black,male,5253
Brunswick,2021,black,male,8212
Buncombe,2021,black,male,7384
Burke,2021,black,male,3498
Cabarrus,2021,black,male,19201
Caldwell,2021,black,male,1980
Camden,2021,black,male,726
Carteret,2021,black,male,2036
Caswell,2021,black,male,3804
Catawba,2021,black,male,6754
Chatham,2021,black,male,4126
Cherokee,2021,black,male,209
Chowan,2021,black,male,2173
Clay,2021,black,male,38
Cleveland,2021,black,male,9604
Columbus,2021,black,male,10354
Craven,2021,black,male,11213
Cumberland,2021,black,male,57404
Currituck,2021,black,male,799
Dare,2021,black,male,508
Davidson,2021,black,male,7361
Davie,2021,black,male,1149
Duplin,2021,black,male,6575
Durham,2021,black,male,57804
Edgecombe,2021,black,male,13438
Forsyth,2021,black,male,50340
Franklin,2021,black,male,8693
Gaston,2021,black,male,17457
Gates,2021,black,male,1861
Graham,2021,black,male,11
Granville,2021,black,male,11130
Greene,2021,black,male,3749
Guilford,2021,black,male,89214
Halifax,2021,black,male,12617
Harnett,2021,black,male,14419
Haywood,2021,black,male,356
Henderson,2021,black,male,1796
Hertford,2021,black,male,6688
Hoke,2021,black,male,8267
Hyde,2021,black,male,940
Iredell,2021,black,male,10407
Jackson,2021,black,male,432
Johnston,2021,black,male,16138
Jones,2021,black,male,1217
Lee,2021,black,male,5993
Lenoir,2021,black,male,10757
Lincoln,2021,black,male,2339
Macon,2021,black,male,358
Madison,2021,black,male,232
Martin,2021,black,male,4480
McDowell,2021,black,male,1093
Mecklenburg,2021,black,male,182416
Mitchell,2021,black,male,41
Montgomery,2021,black,male,2024
Moore,2021,black,male,5987
Nash,2021,black,male,18564
New Hanover,2021,black,male,16144
Northampton,2021,black,male,5503
Onslow,2021,black,male,13894
Orange,2021,black,male,6989
Pamlico,2021,black,male,1189
Pasquotank,2021,black,male,7811
Pender,2021,black,male,4512
Perquimans,2021,black,male,1533
Person,2021,black,male,4848
Pitt,2021,black,male,28670
Polk,2021,black,male,441
Randolph,2021,black,male,4398
Richmond,2021,black,male,6776
Robeson,2021,black,male,15098
Rockingham,2021,black,male,8109
Rowan,2021,black,male,11674
Rutherford,2021,black,male,2968
Sampson,2021,black,male,7363
Scotland,2021,black,male,6526
Stanly,2021,black,male,3550
Stokes,2021,black,male,854
Surry,2021,black,male,1527
Swain,2021,black,male,8
Transylvania,2021,black,male,718
Tyrrell,2021,black,male,974
Union,2021,black,male,13856
Vance,2021,black,male,10935
Wake,2021,black,male,116460
Warren,2021,black,male,5093
Washington,2021,black,male,2806
Watauga,2021,black,male,751
Wayne,2021,black,male,17823
Wilkes,2021,black,male,1739
Wilson,2021,black,male,16098
Yadkin,2021,black,male,553
Yancey,2021,black,male,97
Alamance,2021,other,male,2229
Alexander,2021,other,male,312
Alleghany,2021,other,male,81
Anson,2021,other,male,251
Ashe,2021,other,male,221
Avery,2021,other,male,74
Beaufort,2021,other,male,482
Bertie,2021,other,male,134
Bladen,2021,other,male,320
Brunswick,2021,other,male,1430
Buncombe,2021,other,male,3417
Burke,2021,other,male,1106
Cabarrus,2021,other,male,2627
Caldwell,2021,other,male,873
Camden,2021,other,male,188
Carteret,2021,other,male,1043
Caswell,2021,other,male,271
Catawba,2021,other,male,1884
Chatham,2021,other,male,774
Cherokee,2021,other,male,612
Chowan,2021,other,male,125
Clay,2021,other,male,120
Cleveland,2021,other,male,1084
Columbus,2021,other,male,578
Craven,2021,other,male,1638
Cumberland,2021,other,male,9847
Currituck,2021,other,male,335
Dare,2021,other,male,492
Davidson,2021,other,male,1614
Davie,2021,other,male,432
Duplin,2021,other,male,520
Durham,2021,other,male,4467
Edgecombe,2021,other,male,397
Forsyth,2021,other,male,5063
Franklin,2021,other,male,746
Gaston,2021,other,male,2618
Gates,2021,other,male,165
Graham,2021,other,male,124
Granville,2021,other,male,657
Greene,2021,other,male,171
Guilford,2021,other,male,7118
Halifax,2021,other,male,385
Harnett,2021,other,male,3127
Haywood,2021,other,male,414
Henderson,2021,other,male,1118
Hertford,2021,other,male,155
Hoke,2021,other,male,1508
Hyde,2021,other,male,41
Iredell,2021,other,male,2040
Jackson,2021,other,male,575
Johnston,2021,other,male,2501
Jones,2021,other,male,172
Lee,2021,other,male,887
Lenoir,2021,other,male,486
Lincoln,2021,other,male,770
Macon,2021,other,male,244
Madison,2021,other,male,215
Martin,2021,other,male,118
McDowell,2021,other,male,358
Mecklenburg,2021,other,male,16437
Mitchell,2021,other,male,101
Montgomery,2021,other,male,219
Moore,2021,other,male,1148
Nash,2021,other,male,1054
New Hanover,2021,other,male,3029
Northampton,2021,other,male,119
Onslow,2021,other,male,5094
Orange,2021,other,male,2198
Pamlico,2021,other,male,112
Pasquotank,2021,other,male,554
Pender,2021,other,male,847
Perquimans,2021,other,male,104
Person,2021,other,male,367
Pitt,2021,other,male,2167
Polk,2021,other,male,191
Randolph,2021,other,male,1453
Richmond,2021,other,male,642
Robeson,2021,other,male,2307
Rockingham,2021,other,male,1092
Rowan,2021,other,male,1475
Rutherford,2021,other,male,881
Sampson,2021,other,male,799
Scotland,2021,other,male,544
Stanly,2021,other,male,509
Stokes,2021,other,male,404
Surry,2021,other,male,663
Swain,2021,other,male,410
Transylvania,2021,other,male,314
Tyrrell,2021,other,male,36
Union,2021,other,male,2643
Vance,2021,other,male,474
Wake,2021,other,male,16758
Warren,2021,other,male,233
Washington,2021,other,male,148
Watauga,2021,other,male,575
Wayne,2021,other,male,1877
Wilkes,2021,other,male,706
Wilson,2021,other,male,762
Yadkin,2021,other,male,260
Yancey,2021,other,male,121
Alamance,2021,white,male,61474
Alexander,2021,white,male,17142
Alleghany,2021,white,male,5430
Anson,2021,white,male,6468
Ashe,2021,white,male,13607
Avery,2021,white,male,8939
Beaufort,2021,white,male,17178
Bertie,2021,white,male,3587
Bladen,2021,white,male,10272
Brunswick,2021,white,male,63905
Buncombe,2021,white,male,116679
Burke,2021,white,male,38271
Cabarrus,2021,white,male,80624
Caldwell,2021,white,male,37647
Camden,2021,white,male,4306
Carteret,2021,white,male,32098
Caswell,2021,white,male,7840
Catawba,2021,white,male,65918
Chatham,2021,white,male,31526
Cherokee,2021,white,male,13659
Chowan,2021,white,male,4337
Clay,2021,white,male,5892
Cleveland,2021,white,male,37168
Columbus,2021,white,male,16418
Craven,2021,white,male,35710
Cumberland,2021,white,male,88035
Currituck,2021,white,male,12784
Dare,2021,white,male,17454
Davidson,2021,white,male,73280
Davie,2021,white,male,19657
Duplin,2021,white,male,21008
Durham,2021,white,male,77847
Edgecombe,2021,white,male,10105
Forsyth,2021,white,male,119647
Franklin,2021,white,male,25510
Gaston,2021,white,male,85834
Gates,2021,white,male,3861
Graham,2021,white,male,3872
Granville,2021,white,male,21667
Greene,2021,white,male,6852
Guilford,2021,white,male,147161
Halifax,2021,white,male,9820
Harnett,2021,white,male,48298
Haywood,2021,white,male,30140
Henderson,2021,white,male,53967
Hertford,2021,white,male,5129
Hoke,2021,white,male,14487
Hyde,2021,white,male,1826
Iredell,2021,white,male,76370
Jackson,2021,white,male,19509
Johnston,2021,white,male,85989
Jones,2021,white,male,3465
Lee,2021,white,male,22668
Lenoir,2021,white,male,14750
Lincoln,2021,white,male,40804
Macon,2021,white,male,17319
Madison,2021,white,male,10932
Martin,2021,white,male,6028
McDowell,2021,white,male,21751
Mecklenburg,2021,white,male,327862
Mitchell,2021,white,male,7160
Montgomery,2021,white,male,10240
Moore,2021,white,male,41527
Nash,2021,white,male,25716
New Hanover,2021,white,male,95013
Northampton,2021,white,male,4031
Onslow,2021,white,male,84508
Orange,2021,white,male,55739
Pamlico,2021,white,male,5516
Pasquotank,2021,white,male,10680
Pender,2021,white,male,26762
Perquimans,2021,white,male,4872
Person,2021,white,male,14333
Pitt,2021,white,male,51344
Polk,2021,white,male,9831
Randolph,2021,white,male,62106
Richmond,2021,white,male,13284
Robeson,2021,white,male,19637
Rockingham,2021,white,male,34404
Rowan,2021,white,male,56160
Rutherford,2021,white,male,29471
Sampson,2021,white,male,21232
Scotland,2021,white,male,7536
Stanly,2021,white,male,27195
Stokes,2021,white,male,20995
Surry,2021,white,male,33044
Swain,2021,white,male,4688
Transylvania,2021,white,male,16058
Tyrrell,2021,white,male,1255
Union,2021,white,male,100345
Vance,2021,white,male,9738
Wake,2021,white,male,363028
Warren,2021,white,male,4369
Washington,2021,white,male,2538
Watauga,2021,white,male,28628
Wayne,2021,white,male,41539
Wilkes,2021,white,male,32157
Wilson,2021,white,male,22525
Yadkin,2021,white,male,17731
Yancey,2021,white,male,8961
Alamance,2022,aian,female,2015
Alexander,2022,aian,female,101
Alleghany,2022,aian,female,24
Anson,2022,aian,female,86
Ashe,2022,aian,female,44
Avery,2022,aian,female,47
Beaufort,2022,aian,female,342
Bertie,2022,aian,female,20
Bladen,2022,aian,female,464
Brunswick,2022,aian,female,610
Buncombe,2022,aian,female,1019
Burke,2022,aian,female,580
Cabarrus,2022,aian,female,909
Caldwell,2022,aian,female,401
Camden,2022,aian,female,27
Carteret,2022,aian,female,207
Caswell,2022,aian,female,76
Catawba,2022,aian,female,679
Chatham,2022,aian,female,752
Cherokee,2022,aian,female,212
Chowan,2022,aian,female,16
Clay,2022,aian,female,8
Cleveland,2022,aian,female,276
Columbus,2022,aian,female,1046
Craven,2022,aian,female,313
Cumberland,2022,aian,female,3141
Currituck,2022,aian,female,55
Dare,2022,aian,female,191
Davidson,2022,aian,female,878
Davie,2022,aian,female,206
Duplin,2022,aian,female,651
Durham,2022,aian,female,2334
Edgecombe,2022,aian,female,216
Forsyth,2022,aian,female,2468
Franklin,2022,aian,female,420
Gaston,2022,aian,female,902
Gates,2022,aian,female,60
Graham,2022,aian,female,290
Granville,2022,aian,female,287
Greene,2022,aian,female,389
Guilford,2022,aian,female,2557
Halifax,2022,aian,female,1153
Harnett,2022,aian,female,1758
Haywood,2022,aian,female,203
Henderson,2022,aian,female,485
Hertford,2022,aian,female,144
Hoke,2022,aian,female,3094
Hyde,2022,aian,female,14
Iredell,2022,aian,female,786
Jackson,2022,aian,female,2194
Johnston,2022,aian,female,1301
Jones,2022,aian,female,44
Lee,2022,aian,female,588
Lenoir,2022,aian,female,276
Lincoln,2022,aian,female,220
Macon,2022,aian,female,153
Madison,2022,aian,female,42
Martin,2022,aian,female,58
McDowell,2022,aian,female,253
Mecklenburg,2022,aian,female,5619
Mitchell,2022,aian,female,66
Montgomery,2022,aian,female,154
Moore,2022,aian,female,631
Nash,2022,aian,female,660
New Hanover,2022,aian,female,950
Northampton,2022,aian,female,85
Onslow,2022,aian,female,746
Orange,2022,aian,female,760
Pamlico,2022,aian,female,34
Pasquotank,2022,aian,female,92
Pender,2022,aian,female,396
Perquimans,2022,aian,female,34
Person,2022,aian,female,179
Pitt,2022,aian,female,569
Polk,2022,aian,female,72
Randolph,2022,aian,female,1148
Richmond,2022,aian,female,934
Robeson,2022,aian,female,27124
Rockingham,2022,aian,female,269
Rowan,2022,aian,female,441
Rutherford,2022,aian,female,126
Sampson,2022,aian,female,1343
Scotland,2022,aian,female,2693
Stanly,2022,aian,female,127
Stokes,2022,aian,female,109
Surry,2022,aian,female,300
Swain,2022,aian,female,1901
Transylvania,2022,aian,female,65
Tyrrell,2022,aian,female,24
Union,2022,aian,female,891
Vance,2022,aian,female,268
Wake,2022,aian,female,6766
Warren,2022,aian,female,602
Washington,2022,aian,female,67
Watauga,2022,aian,female,65
Wayne,2022,aian,female,695
Wilkes,2022,aian,female,189
Wilson,2022,aian,female,306
Yadkin,2022,aian,female,168
Yancey,2022,aian,female,70
Alamance,2022,asian,female,1682
Alexander,2022,asian,female,186
Alleghany,2022,asian,female,55
Anson,2022,asian,female,233
Ashe,2022,asian,female,89
Avery,2022,asian,female,49
Beaufort,2022,asian,female,196
Bertie,2022,asian,female,112
Bladen,2022,asian,female,55
Brunswick,2022,asian,female,805
Buncombe,2022,asian,female,2566
Burke,2022,asian,female,2071
Cabarrus,2022,asian,female,3712
Caldwell,2022,asian,female,342
Camden,2022,asian,female,151
Carteret,2022,asian,female,591
Caswell,2022,asian,female,45
Catawba,2022,asian,female,3336
Chatham,2022,asian,female,729
Cherokee,2022,asian,female,123
Chowan,2022,asian,female,57
Clay,2022,asian,female,34
Cleveland,2022,asian,female,520
Columbus,2022,asian,female,148
Craven,2022,asian,female,1778
Cumberland,2022,asian,female,6089
Currituck,2022,asian,female,254
Dare,2022,asian,female,296
Davidson,2022,asian,female,1684
Davie,2022,asian,female,261
Duplin,2022,asian,female,391
Durham,2022,asian,female,10195
Edgecombe,2022,asian,female,103
Forsyth,2022,asian,female,6279
Franklin,2022,asian,female,324
Gaston,2022,asian,female,1994
Gates,2022,asian,female,6
Graham,2022,asian,female,28
Granville,2022,asian,female,269
Greene,2022,asian,female,121
Guilford,2022,asian,female,15612
Halifax,2022,asian,female,302
Harnett,2022,asian,female,1264
Haywood,2022,asian,female,267
Henderson,2022,asian,female,1097
Hertford,2022,asian,female,94
Hoke,2022,asian,female,650
Hyde,2022,asian,female,4
Iredell,2022,asian,female,2461
Jackson,2022,asian,female,318
Johnston,2022,asian,female,1192
Jones,2022,asian,female,27
Lee,2022,asian,female,555
Lenoir,2022,asian,female,304
Lincoln,2022,asian,female,447
Macon,2022,asian,female,206
Madison,2022,asian,female,103
Martin,2022,asian,female,67
McDowell,2022,asian,female,205
Mecklenburg,2022,asian,female,34639
Mitchell,2022,asian,female,66
Montgomery,2022,asian,female,195
Moore,2022,asian,female,985
Nash,2022,asian,female,623
New Hanover,2022,asian,female,2425
Northampton,2022,asian,female,34
Onslow,2022,asian,female,3104
Orange,2022,asian,female,7876
Pamlico,2022,asian,female,39
Pasquotank,2022,asian,female,385
Pender,2022,asian,female,290
Perquimans,2022,asian,female,54
Person,2022,asian,female,122
Pitt,2022,asian,female,2196
Polk,2022,asian,female,80
Randolph,2022,asian,female,1237
Richmond,2022,asian,female,347
Robeson,2022,asian,female,834
Rockingham,2022,asian,female,455
Rowan,2022,asian,female,1025
Rutherford,2022,asian,female,271
Sampson,2022,asian,female,281
Scotland,2022,asian,female,207
Stanly,2022,asian,female,768
Stokes,2022,asian,female,97
Surry,2022,asian,female,272
Swain,2022,asian,female,73
Transylvania,2022,asian,female,115
Tyrrell,2022,asian,female,52
Union,2022,asian,female,4150
Vance,2022,asian,female,132
Wake,2022,asian,female,42688
Warren,2022,asian,female,53
Washington,2022,asian,female,19
Watauga,2022,asian,female,443
Wayne,2022,asian,female,1367
Wilkes,2022,asian,female,283
Wilson,2022,asian,female,534
Yadkin,2022,asian,female,101
Yancey,2022,asian,female,73
Alamance,2022,black,female,18716
Alexander,2022,black,female,820
Alleghany,2022,black,female,74
Anson,2022,black,female,5459
Ashe,2022,black,female,95
Avery,2022,black,female,92
Beaufort,2022,black,female,5671
Bertie,2022,black,female,6180
Bladen,2022,black,female,6011
Brunswick,2022,black,female,8481
Buncombe,2022,black,female,7580
Burke,2022,black,female,2584
Cabarrus,2022,black,female,22310
Caldwell,2022,black,female,1941
Camden,2022,black,female,681
Carteret,2022,black,female,1803
Caswell,2022,black,female,3869
Catawba,2022,black,female,7205
Chatham,2022,black,female,4874
Cherokee,2022,black,female,191
Chowan,2022,black,female,2271
Clay,2022,black,female,38
Cleveland,2022,black,female,11142
Columbus,2022,black,female,8281
Craven,2022,black,female,12188
Cumberland,2022,black,female,69630
Currituck,2022,black,female,866
Dare,2022,black,female,474
Davidson,2022,black,female,7989
Davie,2022,black,female,1473
Duplin,2022,black,female,7248
Durham,2022,black,female,71786
Edgecombe,2022,black,female,16595
Forsyth,2022,black,female,59799
Franklin,2022,black,female,8904
Gaston,2022,black,female,21128
Gates,2022,black,female,2126
Graham,2022,black,female,5
Granville,2022,black,female,8745
Greene,2022,black,female,3241
Guilford,2022,black,female,108277
Halifax,2022,black,female,14401
Harnett,2022,black,female,14376
Haywood,2022,black,female,292
Henderson,2022,black,female,1993
Hertford,2022,black,female,7450
Hoke,2022,black,female,9451
Hyde,2022,black,female,524
Iredell,2022,black,female,10502
Jackson,2022,black,female,302
Johnston,2022,black,female,17949
Jones,2022,black,female,1509
Lee,2022,black,female,6735
Lenoir,2022,black,female,12300
Lincoln,2022,black,female,2159
Macon,2022,black,female,285
Madison,2022,black,female,106
Martin,2022,black,female,5317
McDowell,2022,black,female,714
Mecklenburg,2022,black,female,214218
Mitchell,2022,black,female,33
Montgomery,2022,black,female,2743
Moore,2022,black,female,7136
Nash,2022,black,female,21180
New Hanover,2022,black,female,16572
Northampton,2022,black,female,6167
Onslow,2022,black,female,13608
Orange,2022,black,female,8494
Pamlico,2022,black,female,1144
Pasquotank,2022,black,female,8236
Pender,2022,black,female,4663
Perquimans,2022,black,female,1861
Person,2022,black,female,5352
Pitt,2022,black,female,34922
Polk,2022,black,female,395
Randolph,2022,black,female,4805
Richmond,2022,black,female,7083
Robeson,2022,black,female,15906
Rockingham,2022,black,female,9128
Rowan,2022,black,female,12103
Rutherford,2022,black,female,3222
Sampson,2022,black,female,8649
Scotland,2022,black,female,7265
Stanly,2022,black,female,3649
Stokes,2022,black,female,746
Surry,2022,black,female,1429
Swain,2022,black,female,8
Transylvania,2022,black,female,614
Tyrrell,2022,black,female,576
Union,2022,black,female,16324
Vance,2022,black,female,13390
Wake,2022,black,female,142304
Warren,2022,black,female,4868
Washington,2022,black,female,3403
Watauga,2022,black,female,446
Wayne,2022,black,female,20694
Wilkes,2022,black,female,1279
Wilson,2022,black,female,17785
Yadkin,2022,black,female,588
Yancey,2022,black,female,76
Alamance,2022,other,female,2527
Alexander,2022,other,female,364
Alleghany,2022,other,female,59
Anson,2022,other,female,282
Ashe,2022,other,female,209
Avery,2022,other,female,83
Beaufort,2022,other,female,448
Bertie,2022,other,female,176
Bladen,2022,other,female,410
Brunswick,2022,other,female,1621
Buncombe,2022,other,female,3689
Burke,2022,other,female,1049
Cabarrus,2022,other,female,3117
Caldwell,2022,other,female,897
Camden,2022,other,female,176
Carteret,2022,other,female,964
Caswell,2022,other,female,275
Catawba,2022,other,female,2040
Chatham,2022,other,female,836
Cherokee,2022,other,female,612
Chowan,2022,other,female,106
Clay,2022,other,female,101
Cleveland,2022,other,female,1185
Columbus,2022,other,female,673
Craven,2022,other,female,1932
Cumberland,2022,other,female,10495
Currituck,2022,other,female,484
Dare,2022,other,female,500
Davidson,2022,other,female,1670
Davie,2022,other,female,515
Duplin,2022,other,female,514
Durham,2022,other,female,6448
Edgecombe,2022,other,female,411
Forsyth,2022,other,female,5707
Franklin,2022,other,female,743
Gaston,2022,other,female,2781
Gates,2022,other,female,189
Graham,2022,other,female,93
